time_s_	ZT	GammaT	P_C17_bar_	U_P_C17_bar_	TT_TCJ11_celsius_	U_TT_TCJ11_celsius_	P_1_EMPTY_bar_	P_2_EMPTY_bar_	P_A40_bar_	P_4_EMPTY_bar_	P_5_EMPTY_bar_	P_6_EMPTY_bar_	P_P35_bar_	P_R21_bar_	P_Q21_bar_	P_D14_bar_	P_T14_bar_	P_S14_bar_	P_F10_bar_	P_G7_bar_	P_H7_bar_	P_I7_bar_	U_P_1_EMPTY_bar_	U_P_2_EMPTY_bar_	U_P_A40_bar_	U_P_4_EMPTY_bar_	U_P_5_EMPTY_bar_	U_P_6_EMPTY_bar_	U_P_P35_bar_	U_P_R21_bar_	U_P_Q21_bar_	U_P_D14_bar_	U_P_T14_bar_	U_P_S14_bar_	U_P_F10_bar_	U_P_G7_bar_	U_P_H7_bar_	U_P_I7_bar_	Pratio_1_EMPTY	Pratio_2_EMPTY	Pratio_A40	Pratio_4_EMPTY	Pratio_5_EMPTY	Pratio_6_EMPTY	Pratio_P35	Pratio_R21	Pratio_Q21	Pratio_D14	Pratio_T14	Pratio_S14	Pratio_F10	Pratio_G7	Pratio_H7	Pratio_I7	U_Pratio_1_EMPTY	U_Pratio_2_EMPTY	U_Pratio_A40	U_Pratio_4_EMPTY	U_Pratio_5_EMPTY	U_Pratio_6_EMPTY	U_Pratio_P35	U_Pratio_R21	U_Pratio_Q21	U_Pratio_D14	U_Pratio_T14	U_Pratio_S14	U_Pratio_F10	U_Pratio_G7	U_Pratio_H7	U_Pratio_I7
45.653087	0.784770334265255	0.782775585778496	8.696284	0.019817	227.271437	1.140876	0	0	8.390005	0	0	0	5.182791	3.517503	2.342617	1.683687	1.757695	1.954102	2.033667	1.602859	1.013175	0.689453	0	0	0.03551	0	0	0	0.029723	0.012979	0.017284	0.009853	0.016006	0.017515	0.01436	0.00784	0.019556	0.007207	0	0	0.964780474050755	0	0	0	0.595977661263133	0.404483455232143	0.269381381748802	0.193609937301956	0.202120238943438	0.224705402905425	0.233854713116545	0.184315392643571	0.116506659626112	0.0792813344182412	0	0	0.00463759799181745	0	0	0	0.00367783547444577	0.00175415999676294	0.0020801554115815	0.00121588316771353	0.00189731126029976	0.00207815169958586	0.00173514095284039	0.000994574209172759	0.00226439469937161	0.000848208657549732
45.753204	0.785208425758443	0.78334379259811	8.681619	0.017735	227.269284	1.135488	0	0	8.373506	0	0	0	5.172554	3.509581	2.335874	1.681334	1.740187	1.95634	2.029691	1.600338	1.014264	0.688672	0	0	0.034044	0	0	0	0.027405	0.014555	0.016905	0.009622	0.011314	0.017595	0.01529	0.011052	0.019421	0.007088	0	0	0.964509730270356	0	0	0	0.595805229416311	0.404254206502266	0.269059722616254	0.19366595101674	0.200444986125284	0.225342761528696	0.23379176165183	0.18433635477438	0.116828900231627	0.0793252963531341	0	0	0.0043885593914406	0	0	0	0.00338318658481997	0.00186888532832004	0.00202330449418416	0.00117681320441989	0.00136602816427898	0.00207831756600271	0.00182479998413847	0.00132756125218479	0.0022497200688523	0.000832363918872705
45.85332	0.785593799161684	0.783845836719676	8.669012	0.018185	227.271948	1.135787	0	0	8.36023	0	0	0	5.165533	3.501486	2.329345	1.683283	1.734742	1.955986	2.025162	1.596928	1.012818	0.687236	0	0	0.034449	0	0	0	0.027101	0.012909	0.016939	0.009724	0.010226	0.017256	0.014377	0.008759	0.019387	0.007155	0	0	0.964380946756101	0	0	0	0.595861789094305	0.403908311581527	0.268697863147496	0.19417241549556	0.200108386053682	0.225629633457654	0.233609320185507	0.184211072726627	0.116831998848312	0.0792750085015455	0	0	0.00445910549242366	0	0	0	0.00336681301063162	0.00171326933748389	0.00203364267628376	0.00119336041225058	0.00125206635671266	0.002046034913193	0.00172932100668569	0.00108175269845018	0.00224974515425556	0.000841939810693217
45.953437	0.785963918146172	0.784321596959522	8.656193	0.016891	227.263975	1.135358	0	0	8.348532	0	0	0	5.157075	3.49651	2.324667	1.684158	1.729386	1.952013	2.022325	1.597497	1.011404	0.686313	0	0	0.033668	0	0	0	0.02772	0.01274	0.016634	0.009772	0.008035	0.017423	0.014294	0.009784	0.019368	0.007156	0	0	0.964457700977786	0	0	0	0.595767099924875	0.403931612892642	0.26855535684105	0.194561050105976	0.199785979818149	0.225504791771625	0.233627531179122	0.184549605120866	0.11684166469024	0.0792857784016599	0	0	0.00432085265437099	0	0	0	0.00340681790546966	0.00166954819407743	0.00199180243587275	0.00119103154291395	0.00100677920959609	0.0020603169153903	0.00171307646258833	0.00118626991454661	0.00224905942996871	0.000841043628041154
46.053553	0.786293434774587	0.784731387096316	8.643197	0.017221	227.233142	1.135648	0	0	8.335214	0	0	0	5.149118	3.490033	2.322558	1.679444	1.728775	1.951716	2.018465	1.592542	1.01	0.685548	0	0	0.033929	0	0	0	0.027263	0.012915	0.016805	0.009665	0.009738	0.01778	0.01529	0.010293	0.019461	0.007229	0	0	0.964367004477626	0	0	0	0.595742293042725	0.403789593133189	0.268715152506648	0.194308194062914	0.200015688639285	0.225809500813183	0.233532221931306	0.184253812564957	0.116854909126796	0.0793164843980763	0	0	0.00437053671318059	0	0	0	0.00337021526947201	0.00169705879850899	0.00201667228432037	0.00118334242568097	0.00119507067550361	0.00210573448506274	0.00182919062348834	0.00124618003105433	0.00226360303807508	0.000851179446705097
46.15367	0.786799658380727	0.785382747150903	8.625815	0.01749	227.224789	1.135665	0	0	8.31862	0	0	0	5.137572	3.484042	2.317638	1.671501	1.729364	1.94059	2.015061	1.588692	1.005769	0.683501	0	0	0.033508	0	0	0	0.027368	0.013203	0.017018	0.010062	0.00968	0.0176	0.014534	0.009083	0.019389	0.007165	0	0	0.964386553618412	0	0	0	0.595604241454286	0.403908732102416	0.268686263269036	0.193778906688817	0.200487026443298	0.224974683551641	0.233608186588746	0.184178770353874	0.116599880706925	0.0792390052418235	0	0	0.00434901612299907	0	0	0	0.00339486841310938	0.00173596649266578	0.00204675304859164	0.00123089363664361	0.00119357259219774	0.00209075740957176	0.00175025584200019	0.0011172626971353	0.00226018681305141	0.000846042046983357
46.253786	0.787219794047128	0.785919142931759	8.610938	0.01635	227.211213	1.135927	0	0	8.304787	0	0	0	5.128592	3.47766	2.314425	1.667411	1.726342	1.939782	2.01162	1.586751	1.005614	0.682347	0	0	0.035018	0	0	0	0.026977	0.012376	0.016741	0.011016	0.009105	0.017625	0.014444	0.008891	0.019507	0.007299	0	0	0.964446265900416	0	0	0	0.595590399094733	0.4038654093201	0.268777338775404	0.193638718569336	0.200482456150538	0.225269535095944	0.233612180229378	0.184271562517347	0.116783328366782	0.0792418897917974	0	0	0.00445997689374529	0	0	0	0.00333073442463372	0.00162901976185916	0.00201002159415827	0.00133108923649339	0.00112381071834175	0.00209102989748532	0.00173505924032588	0.00109019514370792	0.00227620111473093	0.000860892977091139
46.353902	0.787724405976356	0.786556776647648	8.592334	0.017319	227.183933	1.136287	0	0	8.285695	0	0	0	5.11623	3.470601	2.309347	1.66098	1.727869	1.932371	2.009265	1.584702	1.004629	0.680565	0	0	0.03464	0	0	0	0.028352	0.013448	0.016776	0.009715	0.010192	0.017867	0.014338	0.008838	0.019358	0.007136	0	0	0.964312490645732	0	0	0	0.595441238666933	0.403918306713868	0.268768299742538	0.193309524513363	0.201094254483124	0.224894772479748	0.233843912492229	0.184432076313607	0.116921548906269	0.0792060690378191	0	0	0.00447559726687764	0	0	0	0.00351117989657977	0.0017642082876302	0.00202620211741167	0.00119591393063099	0.00125351594922118	0.00212824787071602	0.00173398783758773	0.00109370759575039	0.00226523126550377	0.0008457135391818
46.454019	0.788184714843646	0.787134979078739	8.574992	0.01631	227.153528	1.13546	0	0	8.268999	0	0	0	5.101387	3.462933	2.308909	1.65422	1.734152	1.923451	2.004301	1.576102	1.000505	0.679134	0	0	0.034086	0	0	0	0.027835	0.014489	0.017133	0.010168	0.010207	0.017136	0.015921	0.009436	0.019385	0.007228	0	0	0.964315651839675	0	0	0	0.594914490882324	0.403840959851624	0.26926077598673	0.192912133329104	0.202233658060556	0.224309363787161	0.233737944012076	0.183802153984517	0.116677076783279	0.0791993741801742	0	0	0.00437780535086035	0	0	0	0.00343763924420074	0.0018560802665238	0.00206261346990159	0.00124124726071706	0.00125093047101428	0.00204340556004466	0.0019091633203862	0.00115460825095827	0.00227151043926213	0.00085627120118294
46.554135	0.788433614090894	0.787439082664451	8.564611	0.015571	227.121858	1.136636	0	0	8.257713	0	0	0	5.097449	3.457022	2.301406	1.653255	1.720918	1.929886	2.0007	1.581141	1.002056	0.678622	0	0	0.033531	0	0	0	0.026583	0.012945	0.017485	0.010051	0.017038	0.019208	0.014325	0.009801	0.019762	0.007622	0	0	0.964166732149306	0	0	0	0.595175776226147	0.403640282086367	0.268711094993106	0.193033285458032	0.200933585891992	0.225332592455162	0.233600802184711	0.184613288332652	0.116999592859501	0.0792355893338296	0	0	0.00428957329160552	0	0	0	0.00328702896885616	0.00168018265890507	0.00209917903229997	0.00122490135994719	0.00202261231749546	0.00227982647233841	0.00172565809640673	0.00119256593398615	0.00231718586704876	0.000901524941968346
