Time_Iter,Outer_Iter,Inner_Iter,rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],rms[nu],
,0,0,145,-2.372145087,-0.6204967905,-0.9852136085,3.72155874,-10.00981526
,0,0,146,-2.372605231,-0.6237735779,-0.9840168467,3.721092374,-10.00280678
,0,0,147,-2.37299849,-0.627314246,-0.9840771178,3.720694079,-9.995772716
,0,0,148,-2.373361885,-0.6302720624,-0.9828899075,3.720328254,-9.988765459
,0,0,149,-2.373687321,-0.6340772169,-0.9830878267,3.720001867,-9.98174057
,0,0,150,-2.373975221,-0.6374385215,-0.9818944283,3.719714081,-9.974681166
,0,0,151,-2.374202198,-0.6409513311,-0.9820017646,3.719490405,-9.967599564
,0,0,152,-2.374377826,-0.644340603,-0.9809557765,3.719310197,-9.960449201
,0,0,153,-2.374517292,-0.6473795959,-0.9811427085,3.719176948,-9.953281516
,0,0,154,-2.374606029,-0.6504571603,-0.9801812915,3.719086265,-9.946066768
,0,0,155,-2.374660852,-0.6534890244,-0.9803333008,3.71904081,-9.938794546
,0,0,156,-2.374668255,-0.657584745,-0.9794564373,3.71903174,-9.931478004
,0,0,157,-2.374632526,-0.661587979,-0.9795491205,3.719078737,-9.924139854
,0,0,158,-2.374553621,-0.6662249078,-0.9787871479,3.719157353,-9.916731054
,0,0,159,-2.374411772,-0.6708037245,-0.9790084987,3.719309348,-9.909387207
,0,0,160,-2.374240548,-0.6752656188,-0.9783959939,3.719482816,-9.901978327
,0,0,161,-2.374070629,-0.680035472,-0.9785513475,3.719661148,-9.894585107
,0,0,162,-2.373883825,-0.6848978235,-0.97806969,3.719855133,-9.887148074
,0,0,163,-2.374286669,-0.6880655561,-0.9780973351,3.719761388,-9.879679684
,0,0,164,-2.373868606,-0.6920739539,-0.9778874989,3.720127358,-9.872152975
,0,0,165,-2.373854937,-0.6972006666,-0.9788353286,3.719964888,-9.864704233
,0,0,166,-2.373341836,-0.7019359752,-0.9783764448,3.720533392,-9.85712213
,0,0,167,-2.371927959,-0.7073349215,-0.9777065146,3.721810129,-9.849505523
,0,0,168,-2.372101808,-0.7123593389,-0.9779432209,3.721702867,-9.841942552
,0,0,169,-2.372221786,-0.7171351666,-0.9778473286,3.721887726,-9.834389007
,0,0,170,-2.371731098,-0.7235770048,-0.9781694886,3.722315125,-9.826729263
,0,0,171,-2.371774168,-0.7301809086,-0.9790938799,3.722182008,-9.819129208
,0,0,172,-2.369985446,-0.7359418382,-0.9784068762,3.723834579,-9.811479954
,0,0,173,-2.370067248,-0.7419679957,-0.9789884517,3.723803324,-9.803766499
,0,0,174,-2.370418107,-0.7480567432,-0.9801333212,3.723523575,-9.796103996
,0,0,175,-2.368632833,-0.7540151531,-0.9797174365,3.725143655,-9.788360162
,0,0,176,-2.368871747,-0.7567251689,-0.9806026933,3.725044373,-9.780595931
,0,0,177,-2.369100207,-0.7622694483,-0.9816873917,3.724884913,-9.772893567
,0,0,178,-2.367191065,-0.7657512097,-0.9813663688,3.726654396,-9.765110637
,0,0,179,-2.36764199,-0.7726374208,-0.9827920776,3.726304666,-9.757304624
,0,0,180,-2.367873262,-0.7799767685,-0.9842823911,3.726137889,-9.749593584
,0,0,181,-2.365996079,-0.7862403587,-0.984334039,3.727844659,-9.741799606
,0,0,182,-2.36650053,-0.7919520715,-0.9859524072,3.727504392,-9.733979611
,0,0,183,-2.366702011,-0.7982556622,-0.9873462502,3.727387858,-9.72624428
,0,0,184,-2.364901437,-0.8045152517,-0.9872177961,3.729069617,-9.718460699
,0,0,185,-2.365471004,-0.8104964974,-0.9890209867,3.728591965,-9.710657796
,0,0,186,-2.365700713,-0.8166076403,-0.9904871827,3.728414375,-9.702934459
,0,0,187,-2.363956151,-0.8179578425,-0.9905319095,3.73005242,-9.69514779
,0,0,188,-2.36453818,-0.8207294323,-0.9923453107,3.729546303,-9.68737665
,0,0,189,-2.364789044,-0.8259004773,-0.9937560297,3.729385012,-9.679695377
,0,0,190,-2.363091572,-0.8293913384,-0.9935507333,3.73095083,-9.671937421
,0,0,191,-2.363751172,-0.837521449,-0.9952951211,3.730378622,-9.664186265
,0,0,192,-2.364121401,-0.843632822,-0.9963615169,3.730075324,-9.656539895
,0,0,193,-2.362504591,-0.8479441022,-0.9959079612,3.731582089,-9.648834511
,0,0,194,-2.363123474,-0.8521254554,-0.9975307618,3.730993483,-9.641129691
,0,0,195,-2.363578092,-0.85759157,-0.9984790171,3.730655563,-9.633492803
,0,0,196,-2.362082967,-0.8620728066,-0.9966820724,3.732012663,-9.62583136
,0,0,197,-2.362835884,-0.864606878,-0.9982248593,3.731348574,-9.618199617
,0,0,198,-2.363296396,-0.8653695923,-0.9987889098,3.730937978,-9.610595002
,0,0,199,-2.361803627,-0.8696024413,-0.9974777118,3.732291201,-9.60292963
,0,0,200,-2.362584257,-0.8706991854,-0.9978146003,3.731581058,-9.595348717
,0,0,201,-2.363083055,-0.8715773981,-0.9977435685,3.731127118,-9.587799556
,0,0,202,-2.36173916,-0.877882789,-0.9958899192,3.732283537,-9.580194354
,0,0,203,-2.362651179,-0.8815685241,-0.9958746477,3.731495023,-9.572627709
,0,0,204,-2.36324086,-0.8837134583,-0.9952672856,3.730915132,-9.565107928
,0,0,205,-2.361942395,-0.8826678872,-0.9930571808,3.732048254,-9.557570643
,0,0,206,-2.362858107,-0.8838860597,-0.9923508531,3.731237387,-9.550039926
,0,0,207,-2.363506775,-0.883103155,-0.9915644918,3.730617797,-9.542525769
,0,0,208,-2.362306208,-0.8789565991,-0.9888567699,3.731631675,-9.535037271
,0,0,209,-2.363226652,-0.8840957192,-0.9879550645,3.730826827,-9.527553124
,0,0,210,-2.364008647,-0.8845626683,-0.9866456423,3.730055569,-9.520083971
,0,0,211,-2.362939762,-0.8864591638,-0.9838602849,3.730941669,-9.512617965
,0,0,212,-2.363917836,-0.8863807688,-0.9824304245,3.730066331,-9.505172621
,0,0,213,-2.364759705,-0.8852914355,-0.9809901395,3.729240127,-9.497771018
,0,0,214,-2.363758147,-0.883174036,-0.9779133412,3.730043738,-9.490379757
,0,0,215,-2.364655118,-0.8804217726,-0.976234874,3.72926549,-9.482971637
,0,0,216,-2.365576689,-0.8776749086,-0.9744588073,3.728355836,-9.475637998
,0,0,217,-2.364625819,-0.8727977303,-0.9713175189,3.729112137,-9.468304477
,0,0,218,-2.365576392,-0.8729640062,-0.969408013,3.728265699,-9.460964261
,0,0,219,-2.366577408,-0.8707195502,-0.9675236486,3.72728527,-9.453686388
,0,0,220,-2.365786757,-0.8696100146,-0.964234836,3.727878066,-9.446416129
,0,0,221,-2.366726114,-0.8667932434,-0.962077852,3.727051491,-9.439153129
,0,0,222,-2.367825374,-0.8637741983,-0.9601326487,3.725964689,-9.431977157
,0,0,223,-2.367042059,-0.8608207852,-0.9568642319,3.726543257,-9.424777505
,0,0,224,-2.367968452,-0.8574823964,-0.9545163579,3.725731456,-9.417598356
,0,0,225,-2.369069652,-0.8537106447,-0.952433363,3.724645646,-9.41053136
,0,0,226,-2.368365885,-0.8486968701,-0.9490606203,3.725149873,-9.403453035
,0,0,227,-2.36923228,-0.843355265,-0.9465905082,3.724392243,-9.396389545
,0,0,228,-2.370429829,-0.8388169802,-0.9444222224,3.723218732,-9.38943019
,0,0,229,-2.370224385,-0.8336806156,-0.9417579116,3.723022309,-9.382498654
,0,0,230,-2.370708822,-0.8321701494,-0.9388653409,3.722652386,-9.375602675
,0,0,231,-2.370922105,-0.8282076256,-0.935185395,3.722665223,-9.368748141
,0,0,232,-2.371709005,-0.8238581583,-0.9329898698,3.721757037,-9.361950561
,0,0,233,-2.3723215,-0.8180935844,-0.929809083,3.721256382,-9.355244054
,0,0,234,-2.372867074,-0.8127846746,-0.9272936819,3.720641847,-9.34858347
,0,0,235,-2.373996466,-0.8082118699,-0.9248108919,3.719464885,-9.342012926
,0,0,236,-2.373440065,-0.8034418082,-0.921409186,3.719802584,-9.335508921
,0,0,237,-2.374370603,-0.798815201,-0.9184450272,3.718982601,-9.329081401
,0,0,238,-2.375770738,-0.7937644946,-0.9158913728,3.717617,-9.322761146
,0,0,239,-2.376339556,-0.7872517507,-0.9124846565,3.717097588,-9.316515875
,0,0,240,-2.375918783,-0.7824710037,-0.9088192945,3.717448077,-9.310369282
,0,0,241,-2.376757537,-0.7773385659,-0.9061274469,3.716450373,-9.304342455
,0,0,242,-2.377272639,-0.7715541866,-0.9027890825,3.715933067,-9.298432938
,0,0,243,-2.377971346,-0.7661060366,-0.8996630402,3.715187639,-9.292618241
,0,0,244,-2.380349936,-0.7539073244,-0.89679986,3.713082631,-9.286976624
,0,0,245,-2.380638093,-0.7511735331,-0.8932110652,3.712777145,-9.281427962
,0,0,246,-2.378883816,-0.7508083053,-0.8895265882,3.713720792,-9.276001139
