"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.6648,7.7743e+05,0,1.7684e-05,0.15355,193.32,-0.71141,0,3.0893e+05,-2.3062e+16,0,0,0,283.83,0,,11.04,11.04,0,0
3.6646,7.774e+05,0,1.7684e-05,0.15376,193.57,-0.7218,0,3.0892e+05,-2.3129e+16,0,0,0,283.83,0,,11.2,11.2,0,0
3.6645,7.7738e+05,0,1.7683e-05,0.15397,193.83,-0.7322,0,3.089e+05,-2.3195e+16,0,0,0,283.82,0,,11.36,11.36,0,0
3.6644,7.7736e+05,0,1.7683e-05,0.15418,194.08,-0.7426,0,3.0889e+05,-2.3261e+16,0,0,0,283.82,0,,11.52,11.52,0,0
3.6643,7.7734e+05,0,1.7683e-05,0.15439,194.33,-0.75299,0,3.0887e+05,-2.3328e+16,0,0,0,283.82,0,,11.68,11.68,0,0
3.6641,7.7731e+05,0,1.7683e-05,0.15459,194.59,-0.76339,0,3.0886e+05,-2.3394e+16,0,0,0,283.81,0,,11.84,11.84,0,0
3.664,7.7729e+05,0,1.7683e-05,0.1548,194.84,-0.77379,0,3.0884e+05,-2.346e+16,0,0,0,283.81,0,,12,12,0,0
3.6639,7.7727e+05,0,1.7683e-05,0.15501,195.09,-0.78418,0,3.0883e+05,-2.3527e+16,0,0,0,283.8,0,,12.16,12.16,0,0
3.6638,7.7725e+05,0,1.7682e-05,0.15522,195.35,-0.79458,0,3.0881e+05,-2.3593e+16,0,0,0,283.8,0,,12.32,12.32,0,0
3.6636,7.7722e+05,0,1.7682e-05,0.15542,195.6,-0.80498,0,3.088e+05,-2.366e+16,0,0,0,283.8,0,,12.48,12.48,0,0
3.6635,7.772e+05,0,1.7682e-05,0.15563,195.85,-0.81537,0,3.0879e+05,-2.3726e+16,0,0,0,283.79,0,,12.64,12.64,0,0
3.6634,7.7718e+05,0,1.7682e-05,0.15584,196.11,-0.82577,0,3.0877e+05,-2.3792e+16,0,0,0,283.79,0,,12.8,12.8,0,0
3.6633,7.7715e+05,0,1.7682e-05,0.15605,196.36,-0.83617,0,3.0876e+05,-2.3859e+16,0,0,0,283.79,0,,12.96,12.96,0,0
3.6631,7.7713e+05,0,1.7681e-05,0.15626,196.61,-0.84656,0,3.0874e+05,-2.3925e+16,0,0,0,283.78,0,,13.12,13.12,0,0
3.663,7.7711e+05,0,1.7681e-05,0.15646,196.87,-0.85696,0,3.0873e+05,-2.3991e+16,0,0,0,283.78,0,,13.28,13.28,0,0
3.6629,7.7709e+05,0,1.7681e-05,0.15667,197.12,-0.86736,0,3.0871e+05,-2.4058e+16,0,0,0,283.77,0,,13.44,13.44,0,0
3.6628,7.7706e+05,0,1.7681e-05,0.15688,197.38,-0.87775,0,3.087e+05,-2.4124e+16,0,0,0,283.77,0,,13.6,13.6,0,0
3.6626,7.7704e+05,0,1.7681e-05,0.15709,197.63,-0.88815,0,3.0868e+05,-2.419e+16,0,0,0,283.77,0,,13.76,13.76,0,0
3.6625,7.7702e+05,0,1.7681e-05,0.1573,197.88,-0.89855,0,3.0867e+05,-2.4257e+16,0,0,0,283.76,0,,13.92,13.92,0,0
3.6624,7.77e+05,0,1.768e-05,0.1575,198.14,-0.90894,0,3.0865e+05,-2.4323e+16,0,0,0,283.76,0,,14.08,14.08,0,0
3.6623,7.7697e+05,0,1.768e-05,0.15771,198.39,-0.91934,0,3.0864e+05,-2.4389e+16,0,0,0,283.76,0,,14.24,14.24,0,0
3.6621,7.7695e+05,0,1.768e-05,0.15792,198.64,-0.92974,0,3.0862e+05,-2.4456e+16,0,0,0,283.75,0,,14.4,14.4,0,0
3.662,7.7693e+05,0,1.768e-05,0.15813,198.9,-0.94013,0,3.0861e+05,-2.4522e+16,0,0,0,283.75,0,,14.56,14.56,0,0
3.6619,7.769e+05,0,1.768e-05,0.15833,199.15,-0.95053,0,3.086e+05,-2.4589e+16,0,0,0,283.74,0,,14.72,14.72,0,0
3.6618,7.7688e+05,0,1.7679e-05,0.15854,199.4,-0.96093,0,3.0858e+05,-2.4655e+16,0,0,0,283.74,0,,14.88,14.88,0,0
3.6616,7.7686e+05,0,1.7679e-05,0.15877,199.68,-0.97176,0,3.0856e+05,-2.4728e+16,0,0,0,283.74,0,,15.04,15.04,0,0
3.6615,7.7683e+05,0,1.7679e-05,0.15905,200.02,-0.9839,0,3.0854e+05,-2.482e+16,0,0,0,283.73,0,,15.2,15.2,0,0
3.6613,7.7679e+05,0,1.7679e-05,0.15933,200.37,-0.99605,0,3.0852e+05,-2.4912e+16,0,0,0,283.73,0,,15.36,15.36,0,0
