x,y
0.0510899,0.00324129
0.05109599,0.0032415
0.05110292,0.00324174
0.05111057,0.00324201
0.05111894,0.00324231
0.05112791,0.00324261
0.05113745,0.00324294
0.05114759,0.0032433
0.05115821,0.00324366
0.05116937,0.00324405
0.05118098,0.00324444
0.0511931,0.00324483
0.05120564,0.00324525
0.05121863,0.00324567
0.05123201,0.00324609
0.05124584,0.00324654
0.05126003,0.00324699
0.05127467,0.00324744
0.05128964,0.00324789
0.051305,0.00324837
0.05132075,0.00324882
0.05133683,0.0032493
0.0513533,0.00324978
0.0513701,0.00325026
0.05138723,0.00325074
0.05140475,0.00325122
0.05142254,0.0032517
0.05144069,0.00325221
0.05145917,0.00325269
0.05147798,0.00325317
0.05149706,0.00325365
0.05151653,0.00325413
0.05153627,0.00325461
0.05155631,0.00325509
0.05157668,0.00325554
0.05159738,0.00325602
0.05161835,0.00325647
0.05163959,0.00325695
0.05166116,0.0032574
0.05168303,0.00325782
0.0517052,0.00325827
0.05172767,0.00325869
0.05175041,0.00325911
0.05177342,0.00325953
0.05179676,0.00325992
0.05182037,0.00326031
0.05184428,0.0032607
0.05186846,0.00326106
0.05189291,0.00326142
0.05191766,0.00326178
0.05194268,0.00326211
0.051968,0.00326241
0.05199362,0.00326271
0.05201951,0.00326301
0.05204567,0.00326328
0.0520721,0.00326352
0.0520988,0.00326376
0.0521258,0.00326397
0.05215307,0.00326418
0.05218061,0.00326436
0.05220848,0.00326454
0.05223659,0.00326466
0.052265,0.00326478
0.05229368,0.0032649
0.05232263,0.00326496
0.05235188,0.00326502
0.0523814,0.00326505
0.0524,0.00326505
0.0524,0.0358
0.1804,0.0358
